from,to,weight
Argentina,Belize,2037
Argentina,Bolivia,13898
Argentina,Canada,14351
Argentina,Morocco,13033
Argentina,Southern,7854
Australia,Bangladesh,304
Australia,Canada,17197
Australia,Egypt,10589
Australia,Guatemala,3384
Australia,Honduras,72387
Australia,Japan,24560
Australia,Latvia,76989
Australia,New,9497
Australia,Paraguay,42536
Australia,Portugal,1716
Austria,Algeria,3599
Austria,Australia,15533
Austria,Belgium,36169
Austria,Colombia,9044
Austria,Cyprus,48573
Austria,Czech,25688
Austria,Denmark,2916
Austria,El,13274
Austria,Salvador,14600
Austria,Finland,996567
Austria,France,7555
Austria,Greece,90867
Austria,Guadeloupe,806
Austria,Honduras,19990
Austria,Hong,8926
Austria,Kong,10773
Austria,Hungary,115397
Austria,Israel,253
Austria,Kuwait,44835
Austria,Latvia,3071
Austria,Malaysia,15952
Austria,Zealand,15047
Austria,Nicaragua,5449
Austria,Norway,154
Austria,Pakistan,6253
Austria,Peru,35286
Austria,Philippines,7741
Austria,Poland,21348
Austria,Moldava.,29524
Austria,Rep.,159097
Austria,Romania,1421
Austria,Seychelles,5957
Austria,Singapore,96667
Barbados,/Lux.,502
Barbados,Reunion,4491
Belgium,Algeria,12994
Belgium,Argentina,10198
Belgium,Austria,32959
Belgium,Bolivia,5043
Belgium,Colombia,1433
Belgium,Croatia,1000
Belgium,Cyprus,6275
Belgium,Czech,26894
Belgium,Rep.,2158
Belgium,Denmark,3662
Belgium,El,9726
Belgium,Salvador,101487
Belgium,Finland,398266
Belgium,France,22260
Belgium,Mon.,1586
Belgium,Guiana,2394
Belgium,Greece,9062
Belgium,Guatemala,8709
Belgium,Hong,9288
Belgium,Kong,15385
Belgium,Hungary,79584
Belgium,India,1170
Belgium,Indonesia,26821
Belgium,Italy,1518
Belgium,Jordan,1811
Belgium,Korea.,1594
Belgium,Of,4899
Belgium,Kuwait,474054
Belgium,Latvia,3881
Belgium,Malaysia,21765
Belgium,Zealand,15503
Belgium,Nicaragua,13031
Belgium,Oman,2901
Belgium,Pakistan,1651
Belgium,Paraguay,17130
Belgium,Peru,8289
Belgium,Philippines,21759
Belgium,Poland,42064
Belgium,Portugal,1500
Belgium,Moldava.,23430
Belgium,Rep.,31829
Belgium,Romania,6130
Belgium,Seychelles,12629
Belgium,Singapore,130180
Belgium,Africa,4057
Belize,Barbados,517
Bolivia,Argentina,172885
Bolivia,Barbados,231
Bolivia,/Lux.,193
Bolivia,Belize,15609
Bolivia,Canada,61905
Bolivia,China,13297
Bolivia,Rep.,8281
Bolivia,Ecuador,1998
Bolivia,Egypt,358
Bolivia,French,2646
Bolivia,Guiana,1234
Bolivia,Rep.,48218
Bolivia,Mexico,3415
Bolivia,Morocco,30576
Bolivia,Netherlands,15743
Bolivia,Philippines,7416
Bolivia,Reunion,936
Bolivia,Slovenia,140405
Bolivia,Southern,26605
Bolivia,Africa,8052
Brazil,Australia,13925
Brazil,Barbados,614
Brazil,/Lux.,210
Brazil,Canada,5490
Brazil,China,3704
Brazil,Rep.,1350
Brazil,India,2684
Brazil,Indonesia,18832
Brazil,Rep.,35460
Brazil,Latvia,4312
Brazil,Madagascar,334
Brazil,Mexico,948
Brazil,Netherlands,1788
Brazil,Reunion,1126
Brazil,Slovenia,2032120
Brazil,Africa,2133
Canada,Argentina,19116
Canada,Belize,4114
Canada,Morocco,890
Canada,Netherlands,11265
Canada,Southern,1482
Chile,Algeria,11709
Chile,Argentina,9033
Chile,Australia,90620
Chile,Barbados,312
Chile,Bangladesh,5217
Chile,Belgium,30181
Chile,/Lux.,493
Chile,Belize,1296
Chile,Brazil,107506
Chile,Canada,12624
Chile,China,2537
Chile,Colombia,2420
Chile,Croatia,2418
Chile,Czech,28148
Chile,Rep.,3203
Chile,Denmark,14342
Chile,Ecuador,3066
Chile,Egypt,1813
Chile,El,12848
Chile,Finland,405577
Chile,France,21471
Chile,French,1398
Chile,Guiana,1180
Chile,Germany,1210980
Chile,Guatemala,3515
Chile,Honduras,32817
Chile,Hungary,69696
Chile,Iceland,290585
Chile,India,8014
Chile,Indonesia,53582
Chile,Ireland,9232
Chile,Italy,1843
Chile,Japan,39617
Chile,Korea.,3506
Chile,Of,7077
Chile,Kuwait,77687
Chile,Latvia,12810
Chile,Malaysia,13802
Chile,Mauritius,13953
Chile,Netherlands,6238
Chile,New,19865
Chile,Zealand,7180
Chile,Nicaragua,11485
Chile,Oman,869
Chile,Panama,167
Chile,Paraguay,113147
Chile,Philippines,23166
Chile,Poland,59911
Chile,Portugal,7923
Chile,Moldava.,23543
Chile,Of,44387
Chile,Reunion,1494
Chile,Romania,2539
Chile,Seychelles,4800
Chile,Singapore,114947
Chile,Slovenia,1066960
Chile,Southern,2057
China,Belize,1596
China,Canada,4574
China,Rep.,13093
China,Ecuador,1735
China,French,3643
China,Guiana,1356
China,Madagascar,482
China,Mexico,1812
China,Netherlands,8267
China,Africa,9711
Colombia,Peru,11930
Cyprus,Austria,40019
Cyprus,Colombia,2891
Cyprus,Denmark,7985
Cyprus,Finland,368238
Cyprus,Greece,13004
Cyprus,Zealand,8238
Cyprus,Pakistan,1566
Cyprus,Peru,4357
Czech,Austria,20259
Czech,Barbados,221
Czech,Belgium,30876
Czech,Croatia,1284
Czech,El,16806
Czech,Salvador,16572
Czech,Finland,218619
Czech,Greece,5297
Czech,Guadeloupe,8844
Czech,Israel,338
Czech,Kuwait,76037
Czech,Malaysia,81733
Czech,Zealand,6576
Czech,Moldava.,121647
Czech,Rep.,34693
Czech,Singapore,87959
Rep.,China,5251
Rep.,Netherlands,6281
Denmark,India,1873
Denmark,Romania,2153
Ecuador,French,7111
Ecuador,Guiana,793
Ecuador,Madagascar,2529
Ecuador,Mexico,951
El,Czech,12295
El,Guadeloupe,814
El,Israel,3531
El,Malaysia,57521
El,Zealand,7793
El,Pakistan,3593
El,Moldava.,108793
Salvador,Algeria,82104
Salvador,Argentina,29305
Salvador,Australia,20979
Salvador,Austria,45643
Salvador,Belgium,523392
Salvador,Bolivia,28613
Salvador,Brazil,50382
Salvador,Canada,3861
Salvador,China,4080
Salvador,Croatia,3445
Salvador,Cyprus,12434
Salvador,Czech,38405
Salvador,Denmark,9579
Salvador,El,19778
Salvador,Fiji,23023
Salvador,Finland,742989
Salvador,France,34415
Salvador,Mon.,47886
Salvador,Greece,10031
Salvador,Guadeloupe,1666
Salvador,Guatemala,13223
Salvador,Hong,16335
Salvador,Kong,27960
Salvador,Hungary,289608
Salvador,Iceland,64256
Salvador,India,2160
Salvador,Indonesia,24057
Salvador,Ireland,7155
Salvador,Israel,935
Salvador,Italy,7753
Salvador,Jordan,52146
Salvador,Korea.,6364
Salvador,Rep.,42555
Salvador,Of,40391
Salvador,Kuwait,160645
Salvador,Malaysia,70505
Salvador,Martinique,1998
Salvador,Mauritius,3623
Salvador,Zealand,13104
Salvador,Nicaragua,73710
Salvador,Oman,67464
Salvador,Pakistan,6886
Salvador,Panama,449
Salvador,Paraguay,20354
Salvador,Peru,23704
Salvador,Philippines,21617
Salvador,Poland,354356
Salvador,Portugal,974
Salvador,Moldava.,68207
Salvador,Rep.,184576
Salvador,Romania,41597
Salvador,Seychelles,58815
Salvador,Singapore,306259
Salvador,Slovenia,328783
Salvador,Southern,1442
Salvador,Africa,2197
Finland,Algeria,23436
Finland,Argentina,29333
Finland,Australia,99820
Finland,Austria,1143070
Finland,Barbados,341
Finland,Bangladesh,2205
Finland,Belgium,798074
Finland,Belize,1711
Finland,Bolivia,76524
Finland,Brazil,93533
Finland,Canada,17066
Finland,Chile,57365
Finland,China,12449
Finland,Colombia,19657
Finland,Croatia,7835
Finland,Cyprus,158277
Finland,Czech,358165
Finland,Rep.,3495
Finland,Denmark,25891
Finland,Ecuador,2675
Finland,El,141617
Finland,Salvador,222186
Finland,Fiji,12714
Finland,France,85851
Finland,Mon.,1242
Finland,French,3791
Finland,Guiana,1507
Finland,Germany,76823
Finland,Greece,129067
Finland,Guadeloupe,11662
Finland,Guatemala,39164
Finland,Honduras,53149
Finland,Hong,55202
Finland,Kong,68854
Finland,Hungary,689710
Finland,Iceland,156272
Finland,India,5695
Finland,Indonesia,147775
Finland,Ireland,22008
Finland,Israel,5835
Finland,Italy,816
Finland,Japan,47215
Finland,Jordan,855
Finland,Korea.,1750
Finland,Rep.,83411
Finland,Of,7563
Finland,Kuwait,1148110
Finland,Latvia,14160
Finland,Madagascar,549
Finland,Malaysia,135528
Finland,Martinique,3788
Finland,Mauritius,4717
Finland,Mexico,983
Finland,Morocco,2158
Finland,Netherlands,6065
Finland,New,5947
Finland,Zealand,239865
Finland,Nicaragua,75301
Finland,Norway,221
Finland,Oman,1188
Finland,Pakistan,40489
Finland,Panama,2812
Finland,Paraguay,113459
Finland,Peru,68588
Finland,Philippines,99410
Finland,Poland,475694
Finland,Portugal,4250
Finland,Moldava.,437006
Finland,Rep.,970830
Finland,Of,58662
Finland,Reunion,835
Finland,Romania,15582
Finland,Seychelles,90816
Finland,Singapore,882784
Finland,Slovenia,781766
Finland,Southern,1855
Finland,Africa,13060
France,Croatia,13534
France,Guiana,424
France,India,849
France,Pakistan,1677
French,/Lux.,399
French,Ecuador,11049
French,Guiana,2804
French,Madagascar,1401
Guiana,Ecuador,2934
Guiana,Madagascar,1032
Germany,Argentina,12574
Germany,Australia,13644
Germany,Bangladesh,1050
Germany,Bolivia,7147
Germany,Chile,271849
Germany,Rep.,1195
Germany,Denmark,2695
Germany,Ecuador,1112
Germany,Egypt,677
Germany,French,1929
Germany,Guiana,485
Germany,Honduras,12604
Germany,Kong,9218
Germany,Iceland,45445
Germany,Japan,24159
Germany,Korea.,1356
Germany,Kuwait,33281
Germany,Latvia,4059
Germany,Mexico,1346
Germany,Morocco,2655
Germany,New,23396
Germany,Panama,274
Germany,Paraguay,55398
Germany,Philippines,21277
Germany,Portugal,3703
Germany,Of,23642
Germany,Singapore,108585
Germany,Slovenia,135643
Germany,Southern,1971
Germany,Africa,2767
Greece,Austria,31549
Greece,Colombia,1865
Greece,Finland,158903
Greece,Norway,194
Greece,Pakistan,3913
Guatemala,Algeria,4890
Guatemala,Australia,16982
Guatemala,Bangladesh,1089
Guatemala,Denmark,4306
Guatemala,Egypt,484
Guatemala,India,2606
Guatemala,Ireland,6408
Guatemala,Italy,343
Guatemala,Japan,15817
Guatemala,Korea.,3288
Guatemala,Latvia,2923
Guatemala,Martinique,4151
Guatemala,New,7885
Guatemala,Panama,207
Guatemala,Paraguay,23269
Guatemala,Philippines,9483
Guatemala,Portugal,7451
Guatemala,Reunion,622
Guatemala,Singapore,100138
Guatemala,Slovenia,240032
Honduras,Iceland,65894
Honduras,Japan,32298
Honduras,New,6469
Honduras,Portugal,1011
Hong,Singapore,152674
Kong,Pakistan,1524
Kong,Philippines,7621
Hungary,Algeria,48478
Hungary,Argentina,38225
Hungary,Australia,46977
Hungary,Austria,216031
Hungary,Barbados,290
Hungary,Belgium,192407
Hungary,Belize,843
Hungary,Bolivia,31563
Hungary,Brazil,56025
Hungary,Canada,15325
Hungary,Chile,54888
Hungary,China,7573
Hungary,Colombia,22229
Hungary,Croatia,21483
Hungary,Cyprus,38564
Hungary,Czech,50685
Hungary,Rep.,3277
Hungary,Denmark,26232
Hungary,Ecuador,1696
Hungary,El,40169
Hungary,Salvador,74172
Hungary,Fiji,1243
Hungary,Finland,1019390
Hungary,France,138424
Hungary,Mon.,6045
Hungary,French,1574
Hungary,Germany,41006
Hungary,Greece,58484
Hungary,Guadeloupe,2058
Hungary,Guatemala,16450
Hungary,Honduras,51412
Hungary,Hong,13825
Hungary,Kong,106401
Hungary,Iceland,43990
Hungary,India,19263
Hungary,Indonesia,33031
Hungary,Ireland,34341
Hungary,Israel,629
Hungary,Italy,832
Hungary,Japan,20465
Hungary,Jordan,4083
Hungary,Korea.,1670
Hungary,Of,18615
Hungary,Kuwait,144785
Hungary,Latvia,9437
Hungary,Malaysia,50337
Hungary,Martinique,3791
Hungary,Mauritius,5189
Hungary,Mexico,2560
Hungary,Morocco,1331
Hungary,Netherlands,3885
Hungary,Zealand,85965
Hungary,Nicaragua,103927
Hungary,Norway,144
Hungary,Oman,6776
Hungary,Pakistan,19454
Hungary,Panama,441
Hungary,Paraguay,70177
Hungary,Peru,51024
Hungary,Philippines,31140
Hungary,Poland,401791
Hungary,Portugal,1398
Hungary,Moldava.,79917
Hungary,Rep.,289190
Hungary,Of,27963
Hungary,Reunion,1159
Hungary,Romania,30694
Hungary,Seychelles,70624
Hungary,Singapore,322587
Hungary,Slovenia,305554
Hungary,Southern,4701
Hungary,Africa,13418
Iceland,Algeria,4189
Iceland,Australia,115283
Iceland,Barbados,293
Iceland,Bangladesh,4056
Iceland,Belgium,46948
Iceland,Bolivia,23335
Iceland,Brazil,149047
Iceland,Canada,6195
Iceland,Chile,339757
Iceland,China,6483
Iceland,Croatia,1717
Iceland,Czech,11399
Iceland,Rep.,6349
Iceland,Denmark,7454
Iceland,Ecuador,724
Iceland,Egypt,644
Iceland,El,11286
Iceland,Finland,209465
Iceland,France,6180
Iceland,French,1012
Iceland,Germany,306474
Iceland,Greece,8010
Iceland,Guatemala,27655
Iceland,Honduras,134557
Iceland,Hong,11597
Iceland,Kong,7488
Iceland,Hungary,69372
Iceland,India,1273
Iceland,Indonesia,489714
Iceland,Ireland,9189
Iceland,Italy,2042
Iceland,Japan,423412
Iceland,Korea.,1278
Iceland,Rep.,161778
Iceland,Of,1582
Iceland,Kuwait,98557
Iceland,Latvia,15470
Iceland,Madagascar,1399
Iceland,Malaysia,14864
Iceland,Martinique,1594
Iceland,Mauritius,10388
Iceland,Morocco,875
Iceland,Netherlands,2477
Iceland,New,138348
Iceland,Paraguay,349443
Iceland,Philippines,24555
Iceland,Poland,60330
Iceland,Portugal,12016
Iceland,Moldava.,102912
Iceland,Rep.,30748
Iceland,Of,749039
Iceland,Reunion,641
Iceland,Romania,1765
Iceland,Seychelles,29234
Iceland,Singapore,220662
Iceland,Slovenia,1982650
Iceland,Africa,4831
Indonesia,Algeria,3156
Indonesia,Australia,45517
Indonesia,Bangladesh,1121
Indonesia,Brazil,53800
Indonesia,Canada,4326
Indonesia,Chile,127810
Indonesia,Finland,145719
Indonesia,Germany,65315
Indonesia,Guatemala,9808
Indonesia,Honduras,41827
Indonesia,Kong,5822
Indonesia,Iceland,390581
Indonesia,India,1841
Indonesia,Ireland,2819
Indonesia,Japan,31255
Indonesia,Of,2225
Indonesia,Kuwait,45349
Indonesia,Latvia,6472
Indonesia,Mauritius,15469
Indonesia,New,17031
Indonesia,Paraguay,50098
Indonesia,Philippines,17826
Indonesia,Poland,20135
Indonesia,Portugal,6441
Indonesia,Of,56160
Indonesia,Romania,1446
Indonesia,Seychelles,6336
Indonesia,Slovenia,571623
Japan,Australia,18508
Japan,Egypt,385
Japan,Honduras,7993
Japan,Iceland,30051
Japan,Korea.,995
Japan,New,5027
Japan,Paraguay,260968
Japan,Portugal,3903
Japan,Of,15889
Rep.,/Lux.,848
Rep.,Brazil,48804
Rep.,China,2684
Rep.,Rep.,1565
Rep.,Ecuador,3868
Rep.,French,9952
Rep.,Guiana,2636
Rep.,Madagascar,1289
Rep.,Mexico,2161
Rep.,Netherlands,3450
Rep.,Slovenia,959462
Rep.,Africa,2373
Kuwait,Argentina,6932
Kuwait,Austria,41195
Kuwait,Belgium,587725
Kuwait,Bolivia,6310
Kuwait,Colombia,1352
Kuwait,Croatia,1194
Kuwait,Cyprus,9265
Kuwait,Czech,48335
Kuwait,Denmark,5832
Kuwait,El,15373
Kuwait,Salvador,12512
Kuwait,Finland,653983
Kuwait,France,8786
Kuwait,Greece,10503
Kuwait,Guadeloupe,4373
Kuwait,Guatemala,3059
Kuwait,Honduras,39619
Kuwait,Hong,10567
Kuwait,Kong,13670
Kuwait,Hungary,111298
Kuwait,India,1041
Kuwait,Israel,506
Kuwait,Italy,393
Kuwait,Japan,12909
Kuwait,Korea.,592
Kuwait,Of,1475
Kuwait,Malaysia,18272
Kuwait,Martinique,1742
Kuwait,Mauritius,5752
Kuwait,New,4305
Kuwait,Zealand,11309
Kuwait,Nicaragua,19173
Kuwait,Pakistan,1929
Kuwait,Paraguay,23651
Kuwait,Peru,2815
Kuwait,Philippines,8530
Kuwait,Poland,38204
Kuwait,Portugal,916
Kuwait,Moldava.,55480
Kuwait,Rep.,53919
Kuwait,Romania,1724
Kuwait,Seychelles,7270
Kuwait,Singapore,230744
Kuwait,Africa,2187
Latvia,Australia,91691
Latvia,Egypt,6253
Malaysia,Czech,27963
Malaysia,El,15224
Malaysia,Guadeloupe,4907
Malaysia,Panama,197
Malaysia,Moldava.,83159
Mexico,Rep.,1223
Mexico,Ecuador,710
Mexico,French,1629
Mexico,Guiana,755
Mexico,Madagascar,787
Netherlands,Belize,3397
Netherlands,French,906
Netherlands,Italy,772
Zealand,Cyprus,12719
Zealand,Czech,23826
Zealand,Finland,360130
Zealand,Israel,537
Zealand,Moldava.,18936
Nicaragua,Kong,5754
Nicaragua,Of,2051
Nicaragua,Poland,101038
Nicaragua,Moldava.,15812
Norway,Pakistan,1670
Pakistan,India,994
Pakistan,Norway,514
Paraguay,Australia,19856
Paraguay,Bangladesh,833
Paraguay,Chile,22469
Paraguay,Egypt,1297
Paraguay,Germany,55176
Paraguay,Guatemala,8861
Paraguay,Honduras,39206
Paraguay,Iceland,31011
Paraguay,Japan,223382
Paraguay,Korea.,1181
Paraguay,Latvia,3027
Paraguay,Martinique,1173
Paraguay,Mauritius,2588
Paraguay,New,21744
Paraguay,Panama,1692
Paraguay,Portugal,12253
Paraguay,Of,81685
Peru,Austria,25786
Peru,Colombia,32529
Peru,Finland,98586
Peru,Greece,4682
Peru,Hungary,48996
Philippines,Kong,11562
Philippines,Italy,330
Philippines,Korea.,6805
Philippines,Oman,2566
Philippines,Panama,2833
Poland,Algeria,8017
Poland,Argentina,20995
Poland,Belgium,40454
Poland,/Lux.,558
Poland,Belize,1528
Poland,Bolivia,4659
Poland,Canada,21783
Poland,China,6121
Poland,Croatia,2920
Poland,Denmark,3837
Poland,Ecuador,1405
Poland,El,9082
Poland,Salvador,16791
Poland,Finland,169826
Poland,France,12263
Poland,Guiana,635
Poland,Greece,6014
Poland,Kong,10859
Poland,Hungary,104241
Poland,India,2505
Poland,Ireland,3123
Poland,Rep.,43041
Poland,Of,24253
Poland,Madagascar,2337
Poland,Morocco,1643
Poland,Netherlands,3536
Poland,New,6023
Poland,Zealand,8747
Poland,Nicaragua,132214
Poland,Philippines,9174
Poland,Romania,4650
Poland,Seychelles,5510
Poland,Singapore,84460
Poland,Southern,3479
Poland,Africa,6272
Moldava.,Argentina,10327
Moldava.,Australia,32204
Moldava.,Austria,22120
Moldava.,Belgium,43088
Moldava.,Belize,575
Moldava.,Bolivia,15059
Moldava.,Canada,6484
Moldava.,China,2865
Moldava.,Colombia,2321
Moldava.,Croatia,1241
Moldava.,Cyprus,7890
Moldava.,Czech,167793
Moldava.,Rep.,1308
Moldava.,El,105299
Moldava.,Salvador,6898
Moldava.,Finland,251479
Moldava.,Greece,13221
Moldava.,Guadeloupe,6599
Moldava.,Guatemala,4122
Moldava.,Hungary,30136
Moldava.,Iceland,59827
Moldava.,Indonesia,28814
Moldava.,Israel,2195
Moldava.,Italy,234
Moldava.,Of,1852
Moldava.,Kuwait,149173
Moldava.,Latvia,5164
Moldava.,Malaysia,206891
Moldava.,Mexico,861
Moldava.,Netherlands,6509
Moldava.,Zealand,21084
Moldava.,Pakistan,2826
Moldava.,Paraguay,33275
Moldava.,Peru,2867
Moldava.,Philippines,10219
Moldava.,Poland,23565
Moldava.,Seychelles,5582
Moldava.,Singapore,131895
Moldava.,Slovenia,153074
Moldava.,Africa,3286
Rep.,Australia,20560
Rep.,Austria,130434
Rep.,Belgium,61176
Rep.,/Lux.,254
Rep.,Bolivia,7603
Rep.,Canada,3572
Rep.,Colombia,3283
Rep.,Cyprus,6366
Rep.,Czech,24383
Rep.,Denmark,4881
Rep.,El,13425
Rep.,Finland,854660
Rep.,France,5633
Rep.,Greece,8937
Rep.,Guatemala,4232
Rep.,Hong,5246
Rep.,Kong,39365
Rep.,Hungary,130179
Rep.,Iceland,35681
Rep.,Italy,367
Rep.,Japan,14390
Rep.,Korea.,450
Rep.,Of,1596
Rep.,Kuwait,71833
Rep.,Latvia,3937
Rep.,Zealand,6396
Rep.,Nicaragua,10241
Rep.,Pakistan,1218
Rep.,Peru,3297
Rep.,Philippines,11709
Rep.,Poland,31176
Rep.,Moldava.,45523
Rep.,Seychelles,6227
Rep.,Singapore,160542
Rep.,Slovenia,221690
Of,Australia,14377
Of,Egypt,756
Of,Honduras,7799
Of,Iceland,145781
Of,Japan,22074
Of,Panama,3179
Of,Paraguay,26035
Of,Portugal,4364
Reunion,Barbados,1061
Reunion,/Lux.,151
Romania,Algeria,6283
Romania,Of,1849
Seychelles,Algeria,7761
Seychelles,France,4621
Seychelles,India,1640
Seychelles,Pakistan,1598
Seychelles,Romania,6054
Singapore,Algeria,6183
Singapore,Argentina,9988
Singapore,Australia,82737
Singapore,Austria,28793
Singapore,Barbados,3574
Singapore,Belgium,109144
Singapore,/Lux.,1067
Singapore,Bolivia,9428
Singapore,Brazil,78570
Singapore,Canada,11294
Singapore,Chile,45013
Singapore,China,7956
Singapore,Colombia,5563
Singapore,Croatia,16821
Singapore,Cyprus,12045
Singapore,Czech,59006
Singapore,Denmark,18523
Singapore,Egypt,1066
Singapore,El,36078
Singapore,Salvador,17678
Singapore,Finland,399199
Singapore,France,16174
Singapore,Germany,190501
Singapore,Greece,16104
Singapore,Guadeloupe,9822
Singapore,Guatemala,19072
Singapore,Honduras,13811
Singapore,Hong,260930
Singapore,Kong,31607
Singapore,Hungary,177880
Singapore,Iceland,67967
Singapore,India,3315
Singapore,Indonesia,108865
Singapore,Ireland,20171
Singapore,Israel,397
Singapore,Italy,3550
Singapore,Japan,42323
Singapore,Korea.,4971
Singapore,Of,2161
Singapore,Kuwait,199080
Singapore,Latvia,22291
Singapore,Malaysia,410961
Singapore,Martinique,11803
Singapore,Mauritius,15832
Singapore,Netherlands,2005
Singapore,New,7705
Singapore,Zealand,15021
Singapore,Nicaragua,24761
Singapore,Pakistan,2250
Singapore,Panama,2833
Singapore,Paraguay,86549
Singapore,Philippines,64027
Singapore,Poland,123163
Singapore,Portugal,4798
Singapore,Moldava.,124480
Singapore,Rep.,46636
Singapore,Of,28510
Singapore,Reunion,4784
Singapore,Romania,2560
Singapore,Seychelles,25310
Singapore,Slovenia,355999
Singapore,Southern,984
Singapore,Africa,4397
Slovenia,Algeria,40151
Slovenia,Argentina,147671
Slovenia,Australia,250407
Slovenia,Austria,37419
Slovenia,Barbados,11210
Slovenia,Bangladesh,1195
Slovenia,Belgium,94976
Slovenia,/Lux.,7062
Slovenia,Belize,11062
Slovenia,Bolivia,169859
Slovenia,Brazil,3059240
Slovenia,Canada,73311
Slovenia,Chile,120410
Slovenia,China,85382
Slovenia,Colombia,1211
Slovenia,Croatia,2709
Slovenia,Czech,22108
Slovenia,Rep.,27854
Slovenia,Denmark,33476
Slovenia,Ecuador,21231
Slovenia,Egypt,800
Slovenia,El,27014
Slovenia,Salvador,5786
Slovenia,Fiji,556
Slovenia,Finland,422693
Slovenia,France,12213
Slovenia,Mon.,2141
Slovenia,French,29274
Slovenia,Guiana,17983
Slovenia,Germany,152931
Slovenia,Greece,7496
Slovenia,Guadeloupe,2828
Slovenia,Guatemala,29306
Slovenia,Honduras,62471
Slovenia,Hong,71520
Slovenia,Kong,99026
Slovenia,Hungary,113558
Slovenia,Iceland,680292
Slovenia,India,2619
Slovenia,Indonesia,286198
Slovenia,Ireland,14070
Slovenia,Italy,786
Slovenia,Japan,76791
Slovenia,Jordan,1433
Slovenia,Korea.,480
Slovenia,Rep.,2788250
Slovenia,Of,1870
Slovenia,Kuwait,102783
Slovenia,Latvia,40786
Slovenia,Madagascar,5598
Slovenia,Malaysia,55418
Slovenia,Martinique,2786
Slovenia,Mauritius,4387
Slovenia,Mexico,33670
Slovenia,Morocco,2808
Slovenia,Netherlands,44921
Slovenia,New,103484
Slovenia,Zealand,9890
Slovenia,Nicaragua,5617
Slovenia,Paraguay,202843
Slovenia,Philippines,64465
Slovenia,Poland,65224
Slovenia,Portugal,2902
Slovenia,Moldava.,70568
Slovenia,Rep.,47707
Slovenia,Of,181924
Slovenia,Reunion,23795
Slovenia,Romania,7717
Slovenia,Seychelles,19258
Slovenia,Singapore,469992
Slovenia,Southern,4898
Slovenia,Africa,93511
Africa,Belize,1503
Africa,Canada,7886
Africa,China,23556
Africa,Rep.,2837
Africa,French,2330
Africa,Guiana,489
Africa,Madagascar,2994
Africa,Mexico,3293
Africa,Morocco,1486
Africa,Netherlands,10377
Africa,Reunion,1401